cod_departamento,departamento,valor,VB_ACU,cod_municipio,municipio,clase
"13","BOLIVAR","217972","Si cuenta con el servicio","13001","CARTAGENA DE INDIAS","Cabecera municipal",
"13","BOLIVAR","9054","No cuenta con el servicio","13001","CARTAGENA DE INDIAS","Cabecera municipal",
"13","BOLIVAR","15066","Si cuenta con el servicio","13001","CARTAGENA DE INDIAS","Centros poblados",
"13","BOLIVAR","5724","No cuenta con el servicio","13001","CARTAGENA DE INDIAS","Centros poblados",
"13","BOLIVAR","926","Si cuenta con el servicio","13001","CARTAGENA DE INDIAS","Rural disperso",
"13","BOLIVAR","1023","No cuenta con el servicio","13001","CARTAGENA DE INDIAS","Rural disperso",
"13","BOLIVAR","233964","Si cuenta con el servicio","13001","CARTAGENA DE INDIAS","Total",
"13","BOLIVAR","15801","No cuenta con el servicio","13001","CARTAGENA DE INDIAS","Total",
"13","BOLIVAR","1126","Si cuenta con el servicio","13006","ACHI","Cabecera municipal",
"13","BOLIVAR","60","No cuenta con el servicio","13006","ACHI","Cabecera municipal",
"13","BOLIVAR","1260","Si cuenta con el servicio","13006","ACHI","Centros poblados",
"13","BOLIVAR","338","No cuenta con el servicio","13006","ACHI","Centros poblados",
"13","BOLIVAR","1197","Si cuenta con el servicio","13006","ACHI","Rural disperso",
"13","BOLIVAR","1159","No cuenta con el servicio","13006","ACHI","Rural disperso",
"13","BOLIVAR","3583","Si cuenta con el servicio","13006","ACHI","Total",
"13","BOLIVAR","1557","No cuenta con el servicio","13006","ACHI","Total",
"13","BOLIVAR","696","Si cuenta con el servicio","13030","ALTOS DEL ROSARIO","Cabecera municipal",
"13","BOLIVAR","233","No cuenta con el servicio","13030","ALTOS DEL ROSARIO","Cabecera municipal",
"13","BOLIVAR","104","Si cuenta con el servicio","13030","ALTOS DEL ROSARIO","Centros poblados",
"13","BOLIVAR","162","No cuenta con el servicio","13030","ALTOS DEL ROSARIO","Centros poblados",
"13","BOLIVAR","206","Si cuenta con el servicio","13030","ALTOS DEL ROSARIO","Rural disperso",
"13","BOLIVAR","807","No cuenta con el servicio","13030","ALTOS DEL ROSARIO","Rural disperso",
"13","BOLIVAR","1006","Si cuenta con el servicio","13030","ALTOS DEL ROSARIO","Total",
"13","BOLIVAR","1202","No cuenta con el servicio","13030","ALTOS DEL ROSARIO","Total",
"13","BOLIVAR","1105","Si cuenta con el servicio","13042","ARENAL","Cabecera municipal",
"13","BOLIVAR","45","No cuenta con el servicio","13042","ARENAL","Cabecera municipal",
"13","BOLIVAR","305","Si cuenta con el servicio","13042","ARENAL","Centros poblados",
"13","BOLIVAR","138","No cuenta con el servicio","13042","ARENAL","Centros poblados",
"13","BOLIVAR","41","Si cuenta con el servicio","13042","ARENAL","Rural disperso",
"13","BOLIVAR","275","No cuenta con el servicio","13042","ARENAL","Rural disperso",
"13","BOLIVAR","1451","Si cuenta con el servicio","13042","ARENAL","Total",
"13","BOLIVAR","458","No cuenta con el servicio","13042","ARENAL","Total",
"13","BOLIVAR","11037","Si cuenta con el servicio","13052","ARJONA","Cabecera municipal",
"13","BOLIVAR","1974","No cuenta con el servicio","13052","ARJONA","Cabecera municipal",
