"cole_cod_mcpio_ubicacion";"cole_mcpio_ubicacion";"media_saber_bol";"mediana_saber_bol"
13001;"CARTAGENA DE INDIAS";246,460676353685;240
13006;"ACHÍ";214,149206349206;210
13030;"ALTOS DEL ROSARIO";207,673076923077;201
13042;"ARENAL";207,525252525253;199
13052;"ARJONA";224,682952182952;215,5
13062;"ARROYOHONDO";201,189873417722;192
13074;"BARRANCO DE LOBA";224,955056179775;218,5
13140;"CALAMAR";206,944649446494;200
13160;"CANTAGALLO";227,365591397849;221
13188;"CICUCO";231,157894736842;225,5
13212;"CÓRDOBA";222,734104046243;214
13222;"CLEMENCIA";201,495652173913;196
13244;"EL CARMEN DE BOLÍVAR";225,488798370672;218
13248;"EL GUAMO";227,098765432099;220
13268;"EL PEÑÓN";220,906976744186;226,5
13300;"HATILLO DE LOBA";211,922480620155;204
13430;"MAGANGUÉ";238,064087061669;233
13433;"MAHATES";201,557291666667;195
13440;"MARGARITA";214,9875;209,5
13442;"MARÍA LA BAJA";200,61852433281;193
13458;"MONTECRISTO";209,725274725275;207
13468;"MOMPÓS";224,435714285714;216
13473;"MORALES";209,590697674419;205
13490;"NOROSÍ";211,468085106383;206
13549;"PINILLOS";198,355704697987;195
13580;"REGIDOR";204,740740740741;201,5
13600;"RÍO VIEJO";210,625;201,5
13620;"SAN CRISTÓBAL";198,457446808511;193,5
13647;"SAN ESTANISLAO";206,976635514019;198
13650;"SAN FERNANDO";216,809523809524;216
13654;"SAN JACINTO";239,40251572327;229
13655;"SAN JACINTO DEL CAUCA";209,592233009709;203
13657;"SAN JUAN NEPOMUCENO";228,132038834951;219
13667;"SAN MARTÍN DE LOBA";211,102661596958;206
13670;"SAN PABLO";229,754820936639;223
13673;"SANTA CATALINA";223,765306122449;217,5
13683;"SANTA ROSA";217,887323943662;210
13688;"SANTA ROSA DEL SUR";252,23127753304;251
13744;"SIMITÍ";246,166666666667;242,5
13760;"SOPLAVIENTO";207,601851851852;197
13780;"TALAIGUA NUEVO";207,778325123153;205
13810;"TIQUISIO";209,665198237885;207
13836;"TURBACO";255,741243745533;251
13838;"TURBANÁ";218,497835497835;212
13873;"VILLANUEVA";213,568;207
13894;"ZAMBRANO";221,015267175573;213
