cod_departamento,departamento,valor,NIVEL,cod_municipio,municipio,clase
"13","BOLIVAR","6","Normal completa","13062","ARROYOHONDO","Cabecera municipal",
"13","BOLIVAR","28","Normal incompleta","13062","ARROYOHONDO","Cabecera municipal",
"13","BOLIVAR","117","Tecnico","13062","ARROYOHONDO","Cabecera municipal",
"13","BOLIVAR","35","Tecnologico","13062","ARROYOHONDO","Cabecera municipal",
"13","BOLIVAR","143","Universitario","13062","ARROYOHONDO","Cabecera municipal",
"13","BOLIVAR","12","Especializacion","13062","ARROYOHONDO","Cabecera municipal",
"13","BOLIVAR","1","Maestria","13062","ARROYOHONDO","Cabecera municipal",
"13","BOLIVAR","1","Doctorado","13062","ARROYOHONDO","Cabecera municipal",
"13","BOLIVAR","16","Sin informacion","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","400","Ninguno","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","96","Preescolar","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","393","Primaria completa","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","831","Primaria incompleta","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","106","Secundaria completa","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","465","Secundaria incompleta","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","455","Media completa","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","104","Media incompleta","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","4","Normal completa","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","4","Normal incompleta","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","83","Tecnico","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","18","Tecnologico","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","48","Universitario","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","5","Especializacion","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","1","Doctorado","13062","ARROYOHONDO","Resto rural",
"13","BOLIVAR","53","Sin informacion","13062","ARROYOHONDO","Total",
"13","BOLIVAR","857","Ninguno","13062","ARROYOHONDO","Total",
"13","BOLIVAR","232","Preescolar","13062","ARROYOHONDO","Total",
"13","BOLIVAR","818","Primaria completa","13062","ARROYOHONDO","Total",
"13","BOLIVAR","1890","Primaria incompleta","13062","ARROYOHONDO","Total",
"13","BOLIVAR","278","Secundaria completa","13062","ARROYOHONDO","Total",
"13","BOLIVAR","1029","Secundaria incompleta","13062","ARROYOHONDO","Total",
"13","BOLIVAR","1366","Media completa","13062","ARROYOHONDO","Total",
"13","BOLIVAR","296","Media incompleta","13062","ARROYOHONDO","Total",
"13","BOLIVAR","10","Normal completa","13062","ARROYOHONDO","Total",
"13","BOLIVAR","32","Normal incompleta","13062","ARROYOHONDO","Total",
"13","BOLIVAR","200","Tecnico","13062","ARROYOHONDO","Total",
"13","BOLIVAR","53","Tecnologico","13062","ARROYOHONDO","Total",
"13","BOLIVAR","191","Universitario","13062","ARROYOHONDO","Total",
"13","BOLIVAR","17","Especializacion","13062","ARROYOHONDO","Total",
"13","BOLIVAR","1","Maestria","13062","ARROYOHONDO","Total",
"13","BOLIVAR","2","Doctorado","13062","ARROYOHONDO","Total",
"13","BOLIVAR","73","Sin informacion","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","461","Ninguno","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","202","Preescolar","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","597","Primaria completa","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","1297","Primaria incompleta","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","211","Secundaria completa","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","791","Secundaria incompleta","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","896","Media completa","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","192","Media incompleta","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","7","Normal completa","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","22","Normal incompleta","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","163","Tecnico","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","38","Tecnologico","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","150","Universitario","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","42","Especializacion","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","2","Doctorado","13074","BARRANCO DE LOBA","Cabecera municipal",
"13","BOLIVAR","17","Sin informacion","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","963","Ninguno","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","335","Preescolar","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","1023","Primaria completa","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","2525","Primaria incompleta","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","292","Secundaria completa","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","1344","Secundaria incompleta","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","917","Media completa","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","214","Media incompleta","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","11","Normal completa","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","17","Normal incompleta","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","58","Tecnico","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","17","Tecnologico","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","70","Universitario","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","6","Especializacion","13074","BARRANCO DE LOBA","Resto rural",
"13","BOLIVAR","90","Sin informacion","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","1424","Ninguno","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","537","Preescolar","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","1620","Primaria completa","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","3822","Primaria incompleta","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","503","Secundaria completa","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","2135","Secundaria incompleta","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","1813","Media completa","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","406","Media incompleta","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","18","Normal completa","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","39","Normal incompleta","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","221","Tecnico","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","55","Tecnologico","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","220","Universitario","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","48","Especializacion","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","2","Doctorado","13074","BARRANCO DE LOBA","Total",
"13","BOLIVAR","79","Sin informacion","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","961","Ninguno","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","293","Preescolar","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","1229","Primaria completa","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","2364","Primaria incompleta","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","563","Secundaria completa","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","1941","Secundaria incompleta","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","2516","Media completa","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","364","Media incompleta","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","8","Normal completa","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","26","Normal incompleta","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","569","Tecnico","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","84","Tecnologico","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","543","Universitario","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","57","Especializacion","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","2","Maestria","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","6","Doctorado","13140","CALAMAR","Cabecera municipal",
"13","BOLIVAR","18","Sin informacion","13140","CALAMAR","Resto rural",
"13","BOLIVAR","1396","Ninguno","13140","CALAMAR","Resto rural",
"13","BOLIVAR","234","Preescolar","13140","CALAMAR","Resto rural",
"13","BOLIVAR","1110","Primaria completa","13140","CALAMAR","Resto rural",
"13","BOLIVAR","2191","Primaria incompleta","13140","CALAMAR","Resto rural",
"13","BOLIVAR","379","Secundaria completa","13140","CALAMAR","Resto rural",
"13","BOLIVAR","1299","Secundaria incompleta","13140","CALAMAR","Resto rural",
"13","BOLIVAR","1408","Media completa","13140","CALAMAR","Resto rural",
"13","BOLIVAR","226","Media incompleta","13140","CALAMAR","Resto rural",
"13","BOLIVAR","3","Normal completa","13140","CALAMAR","Resto rural",
"13","BOLIVAR","5","Normal incompleta","13140","CALAMAR","Resto rural",
"13","BOLIVAR","247","Tecnico","13140","CALAMAR","Resto rural",
"13","BOLIVAR","30","Tecnologico","13140","CALAMAR","Resto rural",
"13","BOLIVAR","170","Universitario","13140","CALAMAR","Resto rural",
"13","BOLIVAR","9","Especializacion","13140","CALAMAR","Resto rural",
"13","BOLIVAR","1","Maestria","13140","CALAMAR","Resto rural",
"13","BOLIVAR","1","Doctorado","13140","CALAMAR","Resto rural",
"13","BOLIVAR","97","Sin informacion","13140","CALAMAR","Total",
"13","BOLIVAR","2357","Ninguno","13140","CALAMAR","Total",
"13","BOLIVAR","527","Preescolar","13140","CALAMAR","Total",
"13","BOLIVAR","2339","Primaria completa","13140","CALAMAR","Total",
"13","BOLIVAR","4555","Primaria incompleta","13140","CALAMAR","Total",
"13","BOLIVAR","942","Secundaria completa","13140","CALAMAR","Total",
"13","BOLIVAR","3240","Secundaria incompleta","13140","CALAMAR","Total",
"13","BOLIVAR","3924","Media completa","13140","CALAMAR","Total",
"13","BOLIVAR","590","Media incompleta","13140","CALAMAR","Total",
"13","BOLIVAR","11","Normal completa","13140","CALAMAR","Total",
"13","BOLIVAR","31","Normal incompleta","13140","CALAMAR","Total",
"13","BOLIVAR","816","Tecnico","13140","CALAMAR","Total",
"13","BOLIVAR","114","Tecnologico","13140","CALAMAR","Total",
"13","BOLIVAR","713","Universitario","13140","CALAMAR","Total",
"13","BOLIVAR","66","Especializacion","13140","CALAMAR","Total",
"13","BOLIVAR","3","Maestria","13140","CALAMAR","Total",
"13","BOLIVAR","7","Doctorado","13140","CALAMAR","Total",
"13","BOLIVAR","51","Sin informacion","13160","CANTAGALLO","Cabecera municipal",
"13","BOLIVAR","185","Ninguno","13160","CANTAGALLO","Cabecera municipal",
"13","BOLIVAR","51","Preescolar","13160","CANTAGALLO","Cabecera municipal",
"13","BOLIVAR","390","Primaria completa","13160","CANTAGALLO","Cabecera municipal",
"13","BOLIVAR","638","Primaria incompleta","13160","CANTAGALLO","Cabecera municipal",
"13","BOLIVAR","121","Secundaria completa","13160","CANTAGALLO","Cabecera municipal",
"13","BOLIVAR","533","Secundaria incompleta","13160","CANTAGALLO","Cabecera municipal",
"13","BOLIVAR","812","Media completa","13160","CANTAGALLO","Cabecera municipal",
"13","BOLIVAR","86","Media incompleta","13160","CANTAGALLO","Cabecera municipal",
"13","BOLIVAR","13","Normal incompleta","13160","CANTAGALLO","Cabecera municipal",
"13","BOLIVAR","256","Tecnico","13160","CANTAGALLO","Cabecera municipal",
"13","BOLIVAR","70","Tecnologico","13160","CANTAGALLO","Cabecera municipal",
"13","BOLIVAR","152","Universitario","13160","CANTAGALLO","Cabecera municipal",
"13","BOLIVAR","41","Especializacion","13160","CANTAGALLO","Cabecera municipal",
